[2024-04-24 09:11:21,165: INFO: main: welcom to our custom log]
[2024-04-25 12:54:10,547: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-25 12:59:39,388: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-25 12:59:41,013: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-25 13:04:40,403: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-25 13:08:37,652: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-25 13:33:27,913: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-25 13:40:32,032: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-25 13:42:35,985: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-25 13:48:13,351: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-25 13:48:35,880: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-25 13:54:50,501: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-25 13:54:51,902: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-25 13:54:53,598: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-25 13:58:17,483: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-25 14:01:32,714: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-25 14:02:30,504: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-25 14:04:19,669: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-27 09:48:07,321: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-27 09:48:35,333: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-27 09:48:36,647: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-27 10:09:19,760: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2024-04-27 10:09:19,767: INFO: common: yaml file: E:\end-to-end-Deep-learning-project-on-Kidney-Disease-Classification\params.yaml loaded successfully]
[2024-04-27 10:09:19,772: INFO: common: created directory at: artifacts]
[2024-04-27 10:09:19,776: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-27 10:09:19,780: INFO: 3805886299: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-27 10:09:40,143: INFO: 3805886299: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
